run,method,rows,batch,fork,mean_ms,median_ms,p90_ms
hardwood,hardwoodToColumnarBatch,100000,1000000,1,20.4585208,21.2852085,22.6881961
hardwood,hardwoodToColumnarBatch,100000,1000000,2,17.642325,19.860334,22.0220958
hardwood,hardwoodToColumnarBatch,100000,1000000,3,19.2646583,20.569979,22.8987709
hardwood,hardwoodToColumnarBatch,10000000,1000000,1,567.486571,555.984625,633.5515333
hardwood,hardwoodToColumnarBatch,10000000,1000000,2,515.148025,489.163771,594.7736456
hardwood,hardwoodToColumnarBatch,10000000,1000000,3,508.4177459,511.762458,535.2810459
hardwood,hardwoodToExecutorBackedColumnarBatch,100000,1000000,1,17.9495668,20.005646,21.2819084
hardwood,hardwoodToExecutorBackedColumnarBatch,100000,1000000,2,19.8973,19.617125,21.2557875
hardwood,hardwoodToExecutorBackedColumnarBatch,100000,1000000,3,18.1848456,20.084583000000002,22.3810163
hardwood,hardwoodToExecutorBackedColumnarBatch,10000000,1000000,1,530.1001125,500.41079149999996,564.8180707999999
hardwood,hardwoodToExecutorBackedColumnarBatch,10000000,1000000,2,517.7749375,494.1989375,573.5684289
hardwood,hardwoodToExecutorBackedColumnarBatch,10000000,1000000,3,524.8772374,521.2164164999999,584.3797744
